Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[30L, 166L, 211L, 322L]",0.58,MLR,0.09,-0.2,-0.18,-0.33
"[3L, 139L, 196L]",0.71,MLR,0.1,-0.14,-1.06,-1.09
"[93L, 147L, 216L]",0.53,MLR,0.02,-0.14,-0.01,-0.19
"[215L, 259L, 318L]",0.5,MLR,0.11,-0.08,0.02,-0.32
"[160L, 225L, 259L]",0.52,MLR,0.07,-0.08,-0.05,-0.43
"[17L, 83L, 152L, 230L]",0.52,MLR,0.3,0.15,-0.48,-0.03
"[96L, 160L, 170L, 187L, 224L, 360L, 383L]",0.54,MLR,0.33,-0.31,0.2,0.29
"[107L, 323L]",0.51,MLR,0.07,-0.06,-0.07,-0.15
"[50L, 362L, 382L]",0.53,MLR,0.03,-0.12,-0.03,-0.12
"[38L, 156L, 239L, 251L, 257L]",5.17,MLR,0.27,-0.06,-25.93,-327.5
"[38L, 80L, 95L, 107L, 160L]",0.45,MLR,0.21,0.05,0.09,0.03
"[11L, 27L, 179L]",0.56,MLR,0.27,0.15,-0.69,-0.75
"[160L, 247L, 249L, 296L, 358L]",0.58,MLR,0.11,-0.17,-0.28,-0.27
"[107L, 121L, 125L, 160L, 303L, 351L, 362L, 376L]",0.62,MLR,0.14,-0.21,-0.43,-0.37
"[6L, 314L]",0.56,MLR,0.15,0.07,-0.54,-0.6
"[38L, 61L, 80L, 107L, 146L, 198L, 336L]",0.6,MLR,0.23,-0.18,-0.37,-0.49
"[80L, 82L, 107L, 123L, 149L, 160L, 211L, 224L, 291L, 299L, 330L]",0.85,MLR,0.13,-1.1,-0.21,-0.4
"[95L, 184L]",0.46,MLR,0.05,-0.04,0.22,0.22
"[9L, 37L, 134L]",0.57,MLR,0.03,-0.17,-0.19,-0.1
"[54L, 60L, 95L, 105L, 107L, 191L, 204L, 380L]",0.63,MLR,0.22,-0.23,-0.4,-0.26
"[38L, 77L, 81L, 95L, 107L, 160L, 161L, 353L]",0.55,MLR,0.29,0.04,-0.44,-0.64
"[16L, 43L, 107L, 119L, 160L, 229L, 268L, 274L, 368L]",0.8,MLR,0.07,-0.5,-0.93,-1.43
"[2L, 32L, 38L, 160L, 184L, 235L]",0.74,MLR,0.27,-0.28,-0.97,-0.71
"[80L, 120L, 285L, 356L, 364L]",0.58,MLR,0.2,-0.04,-0.49,-0.29
"[197L, 211L]",0.51,MLR,0.01,-0.09,-0.01,-0.1
"[23L, 145L]",0.51,MLR,0.04,-0.06,-0.07,0.06
"[80L, 95L, 107L, 126L, 373L, 380L, 382L]",0.52,MLR,0.09,-0.23,0.21,0.02
"[38L, 157L, 164L, 245L, 316L, 319L, 359L]",0.44,MLR,0.39,0.05,0.13,0.1
"[19L, 38L, 107L, 129L, 139L, 284L]",0.67,MLR,0.24,0.05,-1.13,-0.9
"[21L, 323L]",0.55,MLR,0.04,-0.1,-0.2,-0.23
"[71L, 82L, 109L, 130L, 214L, 228L, 281L, 312L]",0.56,MLR,0.19,-0.21,-0.09,-0.05
