Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[151L, 188L, 192L, 204L, 238L, 248L]",0.56,MLR,0.17,-0.11,-0.26,0.31
"[8L, 11L, 145L, 207L, 292L, 309L, 341L, 370L]",0.76,MLR,0.23,-0.19,-1.2,-2.1
"[13L, 35L, 171L, 325L]",0.45,MLR,0.29,0.05,0.07,0.47
"[8L, 179L, 197L, 271L, 362L]",0.55,MLR,0.15,-0.07,-0.23,-0.19
"[8L, 20L, 54L, 171L, 180L, 202L, 250L]",0.44,MLR,0.45,0.16,-0.05,0.57
"[28L, 46L, 134L, 175L, 314L]",0.51,MLR,0.12,-0.11,0.02,-0.42
"[24L, 124L, 149L, 230L, 287L]",0.54,MLR,0.02,-0.22,0.08,-0.11
"[15L, 50L, 260L, 303L, 315L, 321L, 337L]",0.56,MLR,0.28,-0.22,-0.08,0.08
"[14L, 31L, 66L, 168L, 190L, 195L, 272L, 289L, 300L]",0.97,MLR,0.11,-1.15,-0.76,-0.73
"[73L, 91L, 119L, 320L, 378L]",0.49,MLR,0.16,-0.06,0.05,-0.23
"[15L, 101L, 126L, 158L, 202L, 223L, 286L, 313L]",0.65,MLR,0.22,-0.12,-0.73,-0.6
"[9L, 90L, 91L, 190L, 234L, 256L, 283L, 305L, 362L]",1.2,MLR,0.22,-2.17,-0.34,0.01
"[19L, 96L, 110L, 223L, 240L, 379L]",0.53,MLR,0.16,-0.18,0.05,-0.04
"[78L, 236L, 249L, 313L, 363L]",0.63,MLR,0.15,-0.05,-0.74,-0.52
"[4L, 216L, 240L, 266L, 315L, 336L, 353L]",0.78,MLR,0.24,-0.28,-1.18,-1.14
"[46L, 92L, 233L, 333L, 337L, 350L, 373L]",0.92,MLR,0.13,-0.24,-2.03,-2.11
"[124L, 205L, 229L, 357L, 374L]",0.56,MLR,0.02,-0.29,0.06,-0.19
"[17L, 57L, 172L, 175L, 228L, 250L, 255L]",0.54,MLR,0.37,0.09,-0.47,-0.14
"[129L, 132L, 144L, 202L, 221L, 295L, 337L, 350L]",0.76,MLR,0.19,-0.14,-1.3,-1.19
"[105L, 125L, 200L, 211L, 285L, 368L]",4.01,MLR,0.21,-0.08,-19.46,-21.49
"[18L, 43L, 153L, 216L]",0.56,MLR,0.16,0.0,-0.42,-0.44
"[133L, 176L, 353L]",0.58,MLR,0.04,-0.12,-0.36,-0.41
"[67L, 103L, 211L, 253L, 269L, 360L]",0.91,MLR,0.31,-1.06,-0.61,-0.61
"[109L, 140L, 342L]",0.53,MLR,0.05,-0.05,-0.18,-0.03
"[176L, 270L, 292L]",0.49,MLR,0.11,-0.04,0.05,-0.06
"[1L, 113L, 220L, 272L, 357L]",0.53,MLR,0.12,-0.18,0.04,-0.15
"[16L, 63L, 139L, 141L, 296L, 375L]",0.51,MLR,0.22,0.0,-0.14,0.16
"[74L, 205L, 242L, 257L, 260L, 274L, 376L]",0.51,MLR,0.45,-0.04,-0.1,0.09
"[34L, 90L, 101L, 141L, 255L]",0.67,MLR,0.33,-0.59,-0.06,0.14
"[52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.52,0.2,0.68
"[3L, 52L, 120L, 135L, 141L, 187L, 193L, 198L]",0.29,MLR,0.63,0.47,0.25,0.67
"[10L, 32L, 225L, 246L, 372L]",0.56,MLR,0.08,-0.22,-0.05,-0.03
"[147L, 148L, 149L, 183L, 206L]",0.53,MLR,0.02,-0.27,0.17,-0.07
"[0L, 107L, 275L, 316L]",0.52,MLR,0.08,-0.09,-0.08,-0.2
"[94L, 117L, 217L]",0.55,MLR,0.05,-0.09,-0.2,-0.18
"[93L, 97L, 141L, 172L, 183L, 201L, 297L]",0.78,MLR,0.39,0.2,-1.97,-2.63
"[120L, 158L, 208L, 246L, 267L, 302L, 326L]",0.5,MLR,0.18,-0.15,0.16,0.27
"[92L, 274L, 306L, 325L, 378L]",0.54,MLR,0.1,-0.14,-0.08,0.03
"[50L, 205L, 288L, 306L, 322L, 339L]",0.62,MLR,0.14,-0.18,-0.44,-0.24
"[12L, 19L, 28L, 72L, 123L, 178L, 295L]",0.53,MLR,0.21,-0.12,-0.05,-0.12
"[134L, 161L, 263L, 274L]",0.56,MLR,0.05,-0.14,-0.17,-0.03
"[111L, 153L, 157L, 210L, 335L]",0.57,MLR,0.12,-0.16,-0.24,-0.5
"[9L, 71L, 228L, 232L]",0.54,MLR,0.07,-0.15,-0.05,-0.03
"[49L, 105L, 130L, 181L, 216L, 244L, 250L, 294L, 312L]",0.64,MLR,0.05,-0.37,-0.24,-0.28
"[71L, 73L, 141L, 163L, 329L]",0.64,MLR,0.29,-0.06,-0.8,-0.43
"[20L, 94L, 132L, 232L, 241L, 253L, 263L, 307L, 341L, 343L, 358L]",1.82,MLR,0.13,-3.45,-1.65,-2.77
"[6L, 51L, 211L, 298L, 347L, 351L, 374L]",0.65,MLR,-0.01,-0.37,-0.33,-0.81
"[52L, 104L, 128L, 184L]",0.5,MLR,0.13,-0.09,0.06,0.02
"[24L, 39L, 45L, 91L, 97L, 102L, 341L]",0.87,MLR,0.17,-0.55,-1.26,-1.07
"[8L, 61L, 190L, 329L, 351L]",0.57,MLR,0.12,-0.2,-0.17,-0.13
"[5L, 247L, 281L, 294L, 299L, 315L, 323L, 333L]",1.23,MLR,0.15,-0.98,-2.48,-0.99
"[48L, 73L, 135L, 197L, 347L]",0.56,MLR,0.14,-0.1,-0.25,-0.28
"[56L, 57L, 94L, 114L, 134L, 180L, 206L, 305L, 307L, 335L, 363L, 383L]",1.04,MLR,0.24,-0.28,-2.61,-2.46
"[43L, 144L, 222L, 257L, 303L, 348L]",0.5,MLR,0.29,0.05,-0.16,-0.75
"[29L, 68L, 81L, 353L]",0.62,MLR,0.07,-0.08,-0.6,-0.48
"[6L, 51L, 82L, 97L, 347L, 351L]",0.78,MLR,0.14,-0.27,-1.19,-1.21
"[129L, 262L, 280L, 289L, 331L, 344L]",0.5,MLR,0.35,0.06,-0.19,0.01
"[15L, 140L, 173L, 204L, 267L, 368L]",0.48,MLR,0.34,0.07,-0.11,0.25
"[3L, 52L, 120L, 135L, 141L, 151L, 187L, 198L]",0.3,MLR,0.63,0.45,0.25,0.69
"[27L, 72L, 97L, 305L, 323L, 352L, 379L]",0.5,MLR,0.1,-0.2,0.25,0.14
"[36L, 59L, 138L, 202L, 347L, 351L, 363L]",0.66,MLR,0.17,-0.16,-0.7,-0.61
"[32L, 73L, 299L, 342L, 351L, 354L]",0.73,MLR,0.26,0.02,-1.39,-1.4
"[105L, 152L, 229L]",0.48,MLR,0.22,0.1,-0.18,-0.0
"[1L, 52L, 304L]",0.5,MLR,0.04,-0.08,0.06,0.11
"[89L, 153L, 162L, 204L, 270L, 284L, 329L]",0.55,MLR,0.27,0.04,-0.45,-0.55
"[78L, 134L, 188L]",0.6,MLR,0.06,-0.06,-0.57,-0.37
"[25L, 130L, 292L, 364L, 366L]",0.72,MLR,0.08,-0.43,-0.6,-1.2
"[14L, 30L, 52L, 82L, 149L, 158L, 206L, 217L, 238L, 339L, 343L, 344L]",0.89,MLR,0.22,-0.27,-1.83,-0.55
"[14L, 109L, 178L, 360L]",0.82,MLR,0.19,0.02,-1.9,-0.63
"[24L, 59L, 62L, 95L, 268L, 297L]",0.49,MLR,0.25,-0.14,0.16,0.15
"[148L, 235L, 295L]",0.52,MLR,0.07,-0.1,-0.04,-0.21
"[211L, 273L, 291L, 325L]",0.51,MLR,0.09,-0.09,0.01,-1.5
"[157L, 161L, 186L, 212L, 319L, 370L]",0.75,MLR,0.32,-0.93,0.05,0.11
"[26L, 61L, 68L, 187L, 251L, 324L, 330L]",6.8,MLR,0.28,-4.47,-27.57,-331.29
"[17L, 64L, 130L, 165L, 186L, 267L]",0.74,MLR,0.3,-0.68,-0.26,0.26
"[23L, 90L, 91L, 161L, 231L, 269L, 280L, 364L, 384L]",0.5,MLR,0.29,-0.13,0.12,0.23
"[95L, 114L, 135L, 154L, 216L, 287L, 327L]",0.63,MLR,0.19,-0.17,-0.51,-1.05
"[52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.52,0.2,0.68
"[18L, 28L, 31L, 216L, 333L]",0.74,MLR,0.14,-0.41,-0.76,-0.63
"[54L, 120L, 131L, 165L, 179L, 188L, 269L, 287L]",0.6,MLR,0.2,-0.21,-0.3,0.01
"[180L, 248L, 263L, 269L, 315L, 326L]",0.52,MLR,0.22,-0.28,0.27,0.36
"[3L, 52L, 120L, 135L, 141L, 187L, 193L, 198L]",0.29,MLR,0.63,0.47,0.25,0.67
"[43L, 232L, 267L, 301L, 330L, 375L]",0.49,MLR,0.26,-0.01,-0.05,-0.13
"[2L, 11L, 93L, 290L, 334L, 366L]",0.55,MLR,0.16,-0.08,-0.25,-0.42
"[13L, 26L, 105L, 113L, 280L, 299L]",0.73,MLR,0.17,-0.48,-0.55,-0.67
"[69L, 101L, 112L, 138L, 316L]",0.57,MLR,0.25,-0.1,-0.33,0.03
"[21L, 140L, 166L, 181L, 203L, 242L, 261L, 281L, 318L]",0.59,MLR,0.3,-0.46,0.17,0.01
"[61L, 62L, 101L, 182L, 225L, 258L, 263L, 265L, 279L, 280L]",0.86,MLR,0.09,-1.13,-0.2,-0.07
"[55L, 110L, 185L, 201L, 206L, 246L, 305L]",0.67,MLR,0.1,-0.75,0.22,0.16
"[24L, 39L, 71L, 98L, 200L, 304L, 326L, 329L]",0.81,MLR,0.14,-0.78,-0.53,-0.17
"[24L, 61L, 101L, 127L, 229L, 274L, 382L]",0.67,MLR,0.15,-0.84,0.38,-0.33
"[18L, 35L, 67L, 102L, 304L, 371L, 380L]",0.42,MLR,0.26,0.09,0.17,0.2
"[31L, 74L, 99L, 259L, 265L, 286L, 309L, 317L]",0.47,MLR,0.27,-0.03,0.1,-0.01
"[7L, 21L, 29L, 62L, 256L, 318L, 351L, 355L]",0.85,MLR,0.1,-0.42,-1.36,-1.44
"[27L, 125L, 145L, 154L, 262L, 321L]",0.49,MLR,0.34,-0.06,0.05,0.32
"[31L, 77L, 234L, 261L, 267L]",0.49,MLR,0.16,-0.1,0.12,0.19
"[198L, 205L, 279L, 303L, 342L]",0.51,MLR,0.17,-0.02,-0.12,-0.22
"[85L, 148L, 345L, 378L]",0.49,MLR,0.14,-0.03,-0.02,-0.45
"[99L, 146L, 150L, 212L, 325L]",0.56,MLR,-0.01,-0.34,0.12,0.05
"[115L, 133L, 134L, 180L, 218L, 257L, 290L, 373L]",0.51,MLR,0.23,-0.11,0.02,-0.49
"[12L, 91L, 139L, 295L, 313L]",0.58,MLR,0.08,-0.23,-0.18,-0.46
"[34L, 63L, 102L, 121L, 135L, 225L]",0.65,MLR,0.2,-0.03,-0.87,-1.16
"[115L, 136L, 156L, 184L, 232L, 250L, 361L, 369L, 379L]",0.52,MLR,0.29,-0.06,-0.11,0.22
"[92L, 202L, 248L, 264L, 338L]",0.49,MLR,0.36,0.15,-0.28,0.11
"[16L, 103L, 106L, 119L, 161L, 181L, 196L, 215L]",0.74,MLR,0.31,-0.43,-0.69,0.18
"[81L, 192L, 220L, 344L, 370L]",0.57,MLR,0.16,-0.08,-0.37,-0.14
"[58L, 71L, 188L, 284L, 373L]",0.59,MLR,0.09,-0.11,-0.41,-0.18
"[32L, 161L, 300L]",0.52,MLR,0.03,-0.11,-0.01,-0.12
"[114L, 137L, 142L, 194L, 231L, 341L, 347L]",0.57,MLR,0.24,0.03,-0.52,-0.43
"[1L, 37L, 135L, 324L, 349L]",0.5,MLR,0.06,-0.19,0.25,-0.01
"[30L, 52L, 145L, 257L, 313L, 344L, 346L]",0.55,MLR,0.28,-0.14,-0.17,-0.32
"[0L, 81L, 103L, 132L, 149L, 191L, 327L, 333L]",0.73,MLR,0.11,-0.26,-0.94,-1.09
"[9L, 43L, 56L, 75L, 202L, 256L, 304L, 306L, 374L]",0.62,MLR,0.13,-0.32,-0.22,-0.34
"[4L, 259L, 376L]",0.53,MLR,0.02,-0.19,0.05,-0.12
"[19L, 38L, 51L, 101L, 165L, 226L, 348L]",0.79,MLR,0.19,-0.84,-0.29,0.18
"[42L, 81L, 108L, 134L]",0.6,MLR,0.11,-0.08,-0.53,-0.8
"[18L, 145L, 183L, 197L, 233L, 259L, 311L, 350L]",0.57,MLR,0.43,0.21,-0.82,-0.29
"[23L, 35L, 53L, 184L, 215L, 319L, 353L, 376L]",0.99,MLR,0.21,-0.25,-2.39,-2.3
"[64L, 226L, 243L, 280L]",0.51,MLR,0.12,-0.03,-0.13,-0.13
"[42L, 81L, 187L, 281L, 343L]",0.53,MLR,0.22,-0.0,-0.26,0.11
"[72L, 92L, 125L, 140L, 295L, 371L]",0.54,MLR,0.13,-0.17,-0.06,-0.17
"[28L, 56L, 93L, 351L]",0.53,MLR,0.09,-0.1,-0.11,-0.32
"[83L, 215L, 255L, 319L, 384L]",0.51,MLR,0.26,0.03,-0.21,-0.83
"[19L, 153L, 247L, 298L, 326L]",0.54,MLR,0.13,-0.15,-0.06,-0.08
"[67L, 126L, 163L, 194L, 232L, 302L, 338L]",0.6,MLR,0.19,-0.08,-0.54,-0.49
"[4L, 9L, 105L, 289L, 362L]",0.57,MLR,0.09,-0.14,-0.27,-0.24
"[52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.52,0.2,0.68
"[82L, 107L, 114L, 173L, 192L]",0.52,MLR,0.17,-0.07,-0.1,-0.52
"[21L, 180L, 223L, 236L, 375L]",0.62,MLR,0.01,-0.3,-0.29,-0.24
"[78L, 145L, 339L, 363L]",0.59,MLR,0.1,-0.04,-0.54,-0.31
"[3L, 52L, 120L, 135L, 141L, 187L, 193L, 198L]",0.29,MLR,0.63,0.47,0.25,0.67
"[62L, 171L, 247L]",0.44,MLR,0.27,0.15,0.01,0.23
"[16L, 49L, 78L, 97L, 234L, 286L, 349L, 384L]",1.0,MLR,0.13,-0.73,-1.63,-1.28
"[48L, 126L, 175L, 310L, 379L]",0.45,MLR,0.17,-0.04,0.25,0.18
"[28L, 101L, 231L, 254L, 345L]",0.72,MLR,0.13,-0.47,-0.55,-0.37
"[227L, 233L, 241L, 263L, 309L]",0.5,MLR,0.16,-0.06,-0.02,0.12
"[80L, 336L, 365L]",0.56,MLR,0.01,-0.19,-0.09,-0.06
"[59L, 79L, 97L, 150L, 275L, 288L, 327L, 383L]",0.66,MLR,0.27,-0.28,-0.5,-1.56
"[9L, 71L, 81L, 192L, 271L, 342L, 374L]",0.61,MLR,0.14,-0.17,-0.43,-0.2
"[220L, 288L, 303L, 309L, 355L, 366L]",0.62,MLR,0.25,-0.04,-0.71,-0.46
"[4L, 34L, 89L, 123L, 181L, 345L]",0.75,MLR,0.29,-0.02,-1.46,-2.34
"[47L, 72L, 122L, 136L, 211L]",0.57,MLR,0.06,-0.2,-0.15,-0.16
"[21L, 199L, 256L, 272L, 334L]",0.67,MLR,0.09,-0.55,-0.09,-0.38
"[11L, 31L, 52L, 188L, 226L, 275L, 278L]",0.65,MLR,0.19,-0.19,-0.64,-0.93
"[13L, 166L, 202L, 218L, 251L, 252L]",6.6,MLR,0.2,-0.18,-33.64,-427.03
"[114L, 172L, 217L, 256L, 279L, 353L]",0.72,MLR,0.16,-0.14,-1.06,-0.86
"[109L, 111L, 224L, 256L, 265L, 267L, 290L, 380L]",0.55,MLR,0.33,0.04,-0.47,-0.7
"[100L, 120L, 123L, 197L, 305L]",0.64,MLR,0.08,-0.12,-0.68,-0.95
"[131L, 152L, 199L, 367L]",0.54,MLR,0.22,-0.13,-0.12,-0.03
"[27L, 42L, 87L, 97L, 126L, 132L, 190L, 213L]",0.79,MLR,0.27,-0.77,-0.41,-0.34
"[48L, 65L, 116L, 141L, 157L, 173L, 321L]",0.45,MLR,0.25,-0.03,0.22,0.25
"[38L, 77L, 79L, 137L, 139L, 171L, 190L, 240L]",0.63,MLR,0.42,-0.3,-0.32,-0.05
"[152L, 255L, 274L, 307L, 352L, 364L]",0.51,MLR,0.24,-0.01,-0.13,-0.24
"[94L, 108L, 225L, 236L, 312L]",0.62,MLR,0.04,-0.44,-0.01,-0.02
"[21L, 112L, 253L]",0.59,MLR,0.1,-0.08,-0.48,-1.13
"[87L, 91L, 128L, 236L, 241L, 268L, 279L]",0.61,MLR,0.24,-0.21,-0.38,-0.25
"[23L, 31L, 55L, 101L, 161L, 168L, 212L, 291L, 379L]",0.9,MLR,0.08,-1.43,0.06,-0.51
"[144L, 146L, 165L, 233L, 256L, 277L]",0.57,MLR,0.07,-0.28,0.0,-0.24
"[37L, 50L, 65L, 144L, 145L, 173L, 289L]",0.57,MLR,0.1,-0.3,0.02,-0.21
"[25L, 101L, 173L, 189L]",0.74,MLR,0.11,-0.73,-0.23,-0.65
"[39L, 60L, 86L, 104L, 109L, 126L, 169L, 221L, 269L, 299L, 354L]",0.57,MLR,0.53,0.17,-0.75,-0.4
"[32L, 93L, 157L, 345L, 372L]",0.58,MLR,0.21,-0.09,-0.37,-0.27
"[39L, 81L, 122L, 182L, 224L, 234L, 330L]",0.59,MLR,0.07,-0.38,0.05,-0.1
"[35L, 71L, 108L, 233L, 319L, 335L]",0.64,MLR,0.26,0.07,-1.01,-1.17
"[0L, 68L, 104L, 183L, 186L, 192L, 235L, 263L, 314L]",0.8,MLR,0.36,-0.94,-0.21,0.39
"[9L, 96L, 168L, 233L, 263L, 288L, 349L]",0.58,MLR,0.07,-0.42,0.15,0.18
"[74L, 101L, 189L, 221L, 230L, 274L, 307L]",1.28,MLR,0.21,-2.56,-0.11,-0.22
"[22L, 60L, 140L, 298L, 303L, 304L, 357L]",0.52,MLR,0.16,-0.16,0.05,-0.21
"[2L, 96L, 101L, 141L, 149L, 157L, 170L, 173L, 218L, 249L, 299L, 308L]",2.77,MLR,0.41,-7.54,-0.03,0.34
"[9L, 23L, 82L, 111L, 149L, 199L, 220L, 234L, 327L, 361L]",1.01,MLR,0.13,-0.34,-2.38,-2.98
"[16L, 146L, 199L, 349L, 383L]",0.78,MLR,0.06,-1.02,0.07,0.14
"[97L, 102L, 119L]",1.05,MLR,0.05,-1.86,-0.03,-0.13
"[52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.52,0.2,0.68
"[121L, 142L, 336L, 375L]",0.57,MLR,0.08,-0.11,-0.29,-0.31
"[65L, 90L, 352L]",0.51,MLR,0.05,-0.13,0.08,-0.05
"[9L, 62L, 77L, 78L, 85L]",0.59,MLR,0.12,-0.07,-0.48,-0.11
"[83L, 188L, 286L, 350L]",0.56,MLR,0.06,-0.12,-0.23,-0.21
"[51L, 72L, 198L]",0.51,MLR,0.13,-0.01,-0.12,-0.25
"[3L, 52L, 120L, 135L, 141L, 187L, 193L, 198L]",0.29,MLR,0.63,0.47,0.25,0.67
"[7L, 167L, 255L]",0.48,MLR,0.24,0.08,-0.13,0.02
"[3L, 52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.49,0.22,0.68
"[96L, 118L, 125L, 145L, 309L, 358L]",0.65,MLR,0.19,-0.17,-0.65,-0.26
"[2L, 30L, 142L, 210L, 244L, 261L, 326L, 380L]",0.55,MLR,0.12,-0.32,0.14,-0.18
"[145L, 148L, 167L, 206L, 311L]",0.5,MLR,0.27,0.03,-0.13,0.34
"[17L, 91L, 211L, 295L, 341L]",0.57,MLR,0.09,-0.19,-0.15,0.08
"[38L, 78L, 85L, 136L, 236L, 347L]",0.58,MLR,0.22,-0.01,-0.53,0.01
"[14L, 50L, 86L, 92L, 141L, 238L, 268L, 277L, 295L, 371L]",0.87,MLR,0.17,-0.15,-1.93,-1.42
"[22L, 28L, 33L, 272L, 340L, 355L, 361L]",0.82,MLR,0.27,-0.23,-1.51,-1.63
"[60L, 250L, 279L, 374L]",0.5,MLR,0.11,-0.09,0.03,0.13
"[46L, 85L, 136L, 199L, 276L]",0.62,MLR,0.11,-0.31,-0.21,-0.43
"[39L, 106L, 117L, 165L, 183L, 283L]",0.62,MLR,0.14,-0.16,-0.5,0.04
"[74L, 152L, 380L]",0.47,MLR,0.2,0.1,-0.11,-0.1
"[10L, 40L, 85L, 154L, 157L, 197L, 201L, 298L, 350L]",0.74,MLR,0.27,-0.66,-0.3,-0.17
"[56L, 257L, 357L]",0.5,MLR,0.15,-0.02,-0.05,-0.76
"[21L, 32L, 127L, 139L, 324L, 383L]",0.68,MLR,0.26,-0.26,-0.66,-0.68
"[123L, 168L, 170L, 218L, 221L, 314L]",0.5,MLR,0.32,0.03,-0.13,0.1
"[80L, 176L, 219L, 280L]",0.55,MLR,0.04,-0.19,-0.04,-0.12
"[181L, 293L, 320L]",0.51,MLR,0.05,-0.13,0.05,-0.01
"[32L, 130L, 161L, 171L, 216L, 346L, 360L]",0.54,MLR,0.35,-0.01,-0.31,0.1
"[58L, 84L, 89L, 147L, 322L, 351L, 352L]",0.72,MLR,0.19,-0.13,-1.12,-1.08
"[62L, 118L, 273L, 289L, 297L, 377L]",0.55,MLR,0.15,-0.11,-0.21,-0.14
"[36L, 60L, 75L, 204L, 213L, 251L, 275L, 286L, 291L]",3.06,MLR,0.34,-0.08,-14.16,-172.09
"[29L, 74L, 373L]",0.51,MLR,0.07,-0.07,-0.05,-0.02
"[67L, 73L, 99L, 137L, 160L, 245L, 263L, 332L]",0.65,MLR,0.2,-0.07,-0.81,-0.78
"[38L, 177L, 330L, 366L]",0.53,MLR,0.01,-0.17,0.04,-0.05
"[18L, 114L, 248L, 288L, 299L]",0.57,MLR,0.26,-0.04,-0.43,-0.15
"[2L, 53L, 220L, 344L]",0.53,MLR,0.04,-0.17,-0.0,-0.07
"[2L, 81L, 238L, 380L]",0.52,MLR,0.05,-0.16,0.08,-0.13
"[7L, 44L, 163L, 171L, 257L, 271L, 318L, 369L, 373L]",0.55,MLR,0.36,-0.05,-0.28,-0.05
"[22L, 126L, 134L, 200L]",0.5,MLR,0.13,-0.03,-0.05,-0.14
"[25L, 41L, 120L, 130L, 292L, 336L, 380L]",0.72,MLR,0.25,-0.14,-1.08,-1.07
"[55L, 105L, 115L, 205L, 310L]",0.63,MLR,0.03,-0.26,-0.4,-0.27
"[38L, 238L, 246L, 266L, 358L]",0.56,MLR,0.09,-0.18,-0.11,-0.09
"[52L, 280L, 282L, 290L]",0.51,MLR,0.06,-0.13,0.06,-0.06
"[97L, 143L, 162L, 204L, 272L, 311L, 314L, 323L, 329L, 364L, 371L]",0.63,MLR,0.24,-0.35,-0.21,-0.09
"[27L, 88L, 128L, 149L, 172L, 222L, 242L, 329L, 348L]",1.02,MLR,0.38,-1.46,-0.51,-1.25
"[6L, 7L, 105L, 106L, 198L, 200L, 203L, 227L, 236L, 290L, 333L]",1.33,MLR,0.06,-2.0,-1.38,-0.88
"[9L, 72L, 109L, 124L, 219L]",0.52,MLR,0.06,-0.12,-0.0,-0.11
"[1L, 110L, 160L, 189L, 260L, 290L]",0.61,MLR,0.33,-0.62,0.31,-0.12
"[7L, 51L, 321L, 378L]",0.6,MLR,0.14,-0.05,-0.58,-0.56
"[23L, 47L, 300L, 381L]",0.56,MLR,0.03,-0.23,-0.03,0.04
"[43L, 48L, 51L, 186L, 225L, 339L, 372L, 381L]",1.16,MLR,0.28,-1.32,-1.56,-1.16
"[39L, 129L, 208L, 325L, 352L]",0.58,MLR,0.06,-0.35,0.03,-0.2
"[157L, 179L, 195L, 198L, 217L, 240L, 330L]",0.57,MLR,0.42,0.09,-0.65,-0.44
"[5L, 9L, 25L, 65L, 106L, 132L, 198L, 297L, 384L]",0.81,MLR,0.28,-0.18,-1.5,-1.28
"[52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.52,0.2,0.68
"[68L, 69L, 178L, 238L, 309L, 353L, 358L, 363L, 372L]",0.71,MLR,0.33,-0.12,-1.06,-0.34
"[18L, 114L, 134L, 253L, 273L, 355L]",0.87,MLR,0.31,-0.31,-1.64,-2.26
"[52L, 57L, 185L, 193L, 347L]",0.57,MLR,0.15,-0.15,-0.22,-0.23
"[32L, 40L, 154L, 174L, 246L, 283L, 380L, 384L]",0.6,MLR,0.19,-0.19,-0.34,0.27
"[49L, 342L, 370L, 374L]",0.42,MLR,0.13,-0.05,0.43,-0.16
"[47L, 209L, 325L]",0.54,MLR,0.04,-0.18,-0.01,-0.18
"[3L, 52L, 120L, 135L, 141L, 187L, 193L, 198L]",0.29,MLR,0.63,0.47,0.25,0.67
"[42L, 132L, 236L, 352L]",0.6,MLR,0.06,-0.15,-0.39,-0.65
"[42L, 66L, 69L, 224L, 334L, 379L]",0.67,MLR,0.35,-0.27,-0.61,0.17
"[15L, 89L, 222L, 231L, 291L]",0.55,MLR,0.15,-0.06,-0.29,-0.01
"[3L, 52L, 120L, 135L, 141L, 187L, 198L]",0.29,MLR,0.63,0.49,0.22,0.68
"[83L, 180L, 245L, 283L]",0.6,MLR,0.07,-0.11,-0.45,-0.2
"[71L, 127L, 196L, 208L, 219L, 343L, 379L]",0.49,MLR,0.16,-0.16,0.24,0.27
"[51L, 117L, 264L, 306L, 324L]",0.56,MLR,0.29,-0.09,-0.29,-0.23
"[58L, 133L, 253L, 291L]",0.73,MLR,0.14,-0.71,-0.16,-0.67
"[5L, 18L, 44L, 57L, 190L, 214L, 219L, 274L, 356L, 374L]",0.91,MLR,0.27,-0.11,-2.2,-2.01
"[115L, 152L, 169L, 188L, 221L, 309L, 360L, 365L]",0.6,MLR,0.27,-0.05,-0.6,-0.54
"[84L, 108L, 172L, 259L, 266L, 281L, 289L, 309L]",0.7,MLR,0.23,-0.27,-0.76,-0.54
"[116L, 281L, 376L]",0.67,MLR,0.12,-0.04,-1.0,-0.49
"[10L, 35L, 147L, 278L, 302L]",0.52,MLR,0.18,0.01,-0.25,-0.66
"[27L, 108L, 253L, 335L]",1.52,MLR,0.14,-2.85,-0.97,-1.1
"[19L, 25L, 195L]",0.52,MLR,0.1,-0.01,-0.18,-0.05
"[63L, 82L, 114L, 119L, 183L, 245L, 266L, 287L, 319L]",0.63,MLR,0.31,-0.13,-0.62,0.17
"[28L, 102L, 357L]",0.62,MLR,0.05,-0.22,-0.38,-0.43
"[16L, 47L, 120L, 330L, 342L, 376L, 378L, 379L]",0.69,MLR,0.29,-0.04,-1.07,-0.61
"[157L, 315L, 357L]",0.46,MLR,0.18,0.02,0.11,-0.01
"[15L, 21L, 26L, 265L, 333L, 348L, 354L]",0.97,MLR,0.16,-1.28,-0.56,-0.34
"[217L, 247L, 249L, 379L, 381L]",0.52,MLR,0.18,-0.1,-0.02,-0.09
"[0L, 149L, 229L, 241L, 258L, 293L]",0.53,MLR,0.03,-0.3,0.26,-0.15
"[24L, 28L, 186L, 208L, 291L, 297L, 314L, 366L]",1.29,MLR,0.27,-2.08,-0.99,-0.26
"[20L, 24L, 52L, 88L, 191L, 198L]",0.6,MLR,0.22,0.03,-0.72,-0.73
"[6L, 172L, 289L, 327L, 335L, 340L]",0.75,MLR,0.24,-0.36,-0.88,-1.35
"[39L, 187L, 285L, 340L, 348L, 358L]",4.25,MLR,0.1,-0.2,-20.57,-23.79
"[29L, 69L, 321L, 329L, 338L]",0.7,MLR,0.28,0.02,-1.25,-0.81
"[87L, 131L, 206L, 222L, 281L, 340L, 354L]",1.09,MLR,0.22,-0.11,-3.2,-2.73
"[40L, 47L, 99L, 139L, 174L, 242L]",0.51,MLR,0.23,-0.13,0.07,-0.1
"[136L, 266L, 355L, 377L]",0.64,MLR,0.1,-0.33,-0.31,-0.38
"[46L, 62L, 66L, 67L, 257L, 373L]",0.5,MLR,0.14,-0.18,0.19,-0.27
"[199L, 213L, 248L, 340L, 382L]",0.6,MLR,0.17,-0.37,-0.01,0.43
"[175L, 257L, 302L, 332L, 351L]",0.51,MLR,0.17,-0.24,0.26,-0.49
