Descriptor ID,Fitness,Model,R2,Q2,R2Pred_Validation,R2Pred_Test
"[97L, 223L, 350L, 384L]",0.55,MLR,0.02,-0.17,-0.09,-0.04
"[45L, 192L, 196L, 221L, 280L, 295L]",0.59,MLR,0.12,-0.09,-0.45,-0.31
"[27L, 38L, 74L, 79L, 107L, 143L, 281L, 375L]",0.76,MLR,0.25,-0.15,-1.32,-1.14
"[34L, 93L, 309L, 370L]",0.65,MLR,0.23,0.0,-0.93,-1.76
"[24L, 229L, 256L, 310L, 333L, 335L, 367L]",0.62,MLR,0.19,-0.15,-0.54,-0.53
"[36L, 75L, 132L, 193L, 253L, 298L, 369L]",0.78,MLR,0.19,-0.47,-0.85,-1.07
"[65L, 67L, 86L, 178L]",0.46,MLR,0.05,-0.13,0.32,0.22
"[5L, 31L, 83L, 107L, 190L, 257L]",0.64,MLR,0.2,-0.08,-0.71,-0.74
"[29L, 50L, 80L, 115L, 142L, 149L]",0.58,MLR,0.03,-0.32,0.02,-0.06
"[12L, 98L, 144L, 230L, 282L, 297L, 350L, 365L]",0.74,MLR,0.2,-0.15,-1.15,-0.88
"[38L, 126L, 180L, 236L, 271L, 336L]",0.53,MLR,0.13,-0.19,0.05,0.24
"[101L, 204L, 217L, 300L]",0.54,MLR,0.02,-0.22,0.07,0.03
"[12L, 37L, 70L, 125L, 131L, 156L, 185L, 242L, 246L, 296L]",0.56,MLR,0.26,-0.22,-0.04,-0.07
"[34L, 200L, 251L, 303L, 318L]",2.88,MLR,0.22,-0.33,-12.78,-141.92
"[23L, 36L, 73L, 95L, 263L, 294L, 299L, 302L, 362L, 367L, 379L]",0.53,MLR,0.27,-0.26,0.14,-0.05
"[23L, 82L, 97L, 191L, 262L, 287L, 306L, 372L]",0.43,MLR,0.45,0.07,0.2,-0.9
"[19L, 113L, 188L, 285L, 290L, 298L, 328L, 338L, 340L]",2.58,MLR,0.21,-0.17,-11.36,-16.31
"[152L, 174L, 309L, 326L, 351L, 384L]",0.51,MLR,0.28,0.01,-0.17,-0.65
"[31L, 113L, 118L, 136L, 161L, 174L, 328L, 361L]",0.73,MLR,0.19,-0.17,-1.09,-0.92
"[122L, 173L, 224L, 265L, 298L, 324L, 351L, 362L]",0.54,MLR,0.21,-0.08,-0.17,-0.66
"[34L, 39L, 135L, 270L, 334L, 375L]",0.64,MLR,0.24,-0.13,-0.68,-1.05
"[56L, 125L, 145L, 150L, 161L, 166L, 183L, 194L, 197L, 232L]",0.73,MLR,0.45,0.01,-1.39,-0.76
"[49L, 104L, 284L, 296L]",0.58,MLR,0.02,-0.18,-0.25,-0.1
"[45L, 105L, 122L, 147L, 304L]",0.58,MLR,0.04,-0.23,-0.14,-0.04
"[67L, 232L, 379L, 383L]",0.45,MLR,0.11,-0.05,0.28,-0.09
"[14L, 61L, 90L, 160L, 168L, 220L, 242L, 252L, 254L, 361L]",0.76,MLR,0.3,-0.14,-1.28,-0.17
